team,avg_pred_prob,actual_win_pct,predicted_rank,actual_rank,rank_diff,model
DET,0.6992847386747055,0.8823529411764706,1,1.5,-0.5,KNN
BUF,0.6791757580579446,0.7647058823529411,2,5.0,-3.0,KNN
MIA,0.6629794698049964,0.47058823529411764,3,18.5,-15.5,KNN
CIN,0.6134226350893193,0.5294117647058824,4,16.0,-12.0,KNN
KC,0.5668626760523953,0.8823529411764706,5,1.5,3.5,KNN
HOU,0.5650796691999861,0.5882352941176471,6,12.5,-6.5,KNN
MIN,0.5625798224373768,0.8235294117647058,7,3.5,3.5,KNN
SF,0.5620243391368872,0.35294117647058826,8,22.0,-14.0,KNN
NO,0.5607107671554827,0.29411764705882354,9,24.5,-15.5,KNN
PHI,0.5574816390477942,0.8235294117647058,10,3.5,6.5,KNN
PIT,0.552660664783122,0.5882352941176471,11,12.5,-1.5,KNN
TB,0.5425416572537312,0.5882352941176471,12,12.5,-0.5,KNN
BAL,0.5312333372993436,0.7058823529411765,13,6.5,6.5,KNN
LA,0.5092283437346773,0.5882352941176471,14,12.5,1.5,KNN
ATL,0.49715547097867085,0.47058823529411764,15,18.5,-3.5,KNN
LV,0.489749921001233,0.23529411764705882,16,28.0,-12.0,KNN
IND,0.489008788156521,0.47058823529411764,17,18.5,-1.5,KNN
DAL,0.4852886524179147,0.4117647058823529,18,21.0,-3.0,KNN
WAS,0.4840894958497851,0.7058823529411765,19,6.5,12.5,KNN
LAC,0.4736995311912513,0.6470588235294118,20,8.5,11.5,KNN
GB,0.469255653681212,0.6470588235294118,21,8.5,12.5,KNN
ARI,0.46113384803765406,0.47058823529411764,22,18.5,3.5,KNN
NE,0.45590627044228615,0.23529411764705882,23,28.0,-5.0,KNN
CAR,0.43916785609727926,0.29411764705882354,24,24.5,-0.5,KNN
CHI,0.4253933670659585,0.29411764705882354,25,24.5,0.5,KNN
JAX,0.4125284871464555,0.23529411764705882,26,28.0,-2.0,KNN
DEN,0.412188004173295,0.5882352941176471,27,12.5,14.5,KNN
NYG,0.39482011627218666,0.17647058823529413,28,31.0,-3.0,KNN
SEA,0.39423811745893333,0.5882352941176471,29,12.5,16.5,KNN
NYJ,0.39069493529832583,0.29411764705882354,30,24.5,5.5,KNN
CLE,0.3204231879318587,0.17647058823529413,31,31.0,0.0,KNN
TEN,0.28174373063629227,0.17647058823529413,32,31.0,1.0,KNN
